tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,latitude,longitude
5.70306133677761E+017,neutral,1,,,Virgin America,cairdin,0,@VirginAmerica What @dhepburn said.,2015-02-24 11:35:52 -0800,35.8884551937207,-119.273780961654
5.70301130888122E+017,positive,0.3486,,0,Virgin America,jnardino,0,@VirginAmerica plus you've added commercials to the experience... tacky.,2015-02-24 11:15:59 -0800,37.7709712276058,-119.941025385876
5.70301083672814E+017,neutral,0.6837,,,Virgin America,yvonnalynn,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,2015-02-24 11:15:48 -0800,35.6848625431337,-119.709298699672
5.70301031407624E+017,negative,1,Bad Flight,0.7033,Virgin America,jnardino,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2015-02-24 11:15:36 -0800,37.0611594313483,-119.279134783103
5.70300817074463E+017,negative,1,Can't Tell,1,Virgin America,jnardino,0,@VirginAmerica and it's a really big bad thing about it,2015-02-24 11:14:45 -0800,36.7905874093838,-120.867751937439
5.70300767074181E+017,negative,1,Can't Tell,0.6842,Virgin America,jnardino,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2015-02-24 11:14:33 -0800,36.2266530688566,-119.290923331521
5.70300616901321E+017,positive,0.6745,,0,Virgin America,cjmcginnis,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",2015-02-24 11:13:57 -0800,33.7781638562271,-119.565304999117
5.70300248553349E+017,neutral,0.634,,,Virgin America,pilot,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2015-02-24 11:12:29 -0800,36.4852392456091,-119.301841113315
5.70299953286943E+017,positive,0.6559,,,Virgin America,dhepburn,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",2015-02-24 11:11:19 -0800,36.2089682989336,-119.087949774393
5.70295459631264E+017,positive,1,,,Virgin America,YupitsTate,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2015-02-24 10:53:27 -0800,37.6944747471073,-119.006905969324
